Date,Adj Close,Close,High,Low,Open,Volume,Daily_Return,MA20,MA50,Volatility,RSI,MACD,Signal_Line
2024-10-10,227.33583068847656,229.0399932861328,229.5,227.1699981689453,227.77999877929688,28183500,-0.0021782696463562568,225.66949920654298,223.25400024414063,0.01640796831776363,51.26049958372603,1.1932017631468739,1.1513852412409151
2024-10-11,225.85693359375,227.5500030517578,229.41000366210938,227.33999633789062,229.3000030517578,31759200,-0.006505371454991304,225.92199935913087,223.43780029296875,0.016496749656431133,51.63241047100712,1.1684040726759974,1.1547890075279317
2024-10-14,229.5790252685547,231.3000030517578,231.72999572753906,228.60000610351562,228.6999969482422,39882100,0.01647989430765695,226.6709991455078,223.66660034179688,0.015324736948357974,55.46898191579674,1.4348058357238926,1.210792373167124
2024-10-15,232.1100311279297,233.85000610351562,237.49000549316406,232.3699951171875,233.61000061035156,64751400,0.011024656368842312,227.52399978637695,224.15820037841797,0.015413033164109297,59.97867513907164,1.8305931489560407,1.3347525283249073
2024-10-16,230.055419921875,231.77999877929688,232.1199951171875,229.83999633789062,231.60000610351562,34082200,-0.008851859184055066,228.0784996032715,224.64920043945312,0.015290387395015634,55.54687093322249,1.9546926744970676,1.4587405575593393
2024-10-17,230.42269897460938,232.14999389648438,233.85000610351562,230.52000427246094,233.42999267578125,32993800,0.001596320300009113,228.24249954223632,225.09580017089843,0.012957182488343738,55.662340699169874,2.059161227508582,1.578824691549188
2024-10-18,233.25148010253906,235.0,236.17999267578125,234.00999450683594,236.17999267578125,46431500,0.01227657195109133,228.5824996948242,225.52960021972658,0.01317173053924378,52.767018370509234,2.3448944983535114,1.7320386529100527
2024-10-21,234.72044372558594,236.47999572753906,236.85000610351562,234.4499969482422,234.4499969482422,36254500,0.006297854159740712,229.082999420166,225.93440002441406,0.013030080994716423,66.65584412370563,2.6600994894077417,1.9176508202095905
2024-10-22,234.10508728027344,235.86000061035156,236.22000122070312,232.60000610351562,233.88999938964844,38846600,-0.002621765597043635,229.50749969482422,226.30100006103515,0.013067454810445429,64.70208044369095,2.827282142687068,2.099577084705086
2024-10-23,229.0430450439453,230.75999450683594,235.13999938964844,227.75999450683594,234.0800018310547,52287000,-0.021623022514703605,229.72699966430665,226.49079986572266,0.014037157169578896,57.29853319563809,2.519207869703081,2.183503241704685
2024-10-24,228.85443115234375,230.57000732421875,230.82000732421875,228.41000366210938,229.97999572753906,31109500,-0.0008233107433687215,229.87949981689454,226.66779998779296,0.014010099263248808,55.55556554920209,2.233974543028694,2.193597501969487
2024-10-25,229.6881866455078,231.41000366210938,233.22000122070312,229.57000732421875,229.74000549316406,38802300,0.0036431292501519774,230.06050033569335,226.8016000366211,0.014024799845658947,66.3857215469113,2.0520509944628316,2.165288200468156
2024-10-28,231.66336059570312,233.39999389648438,234.72999572753906,232.5500030517578,233.32000732421875,36087100,0.008599413175243154,230.08050003051758,226.94859985351562,0.013184984734868574,63.837505015704345,2.044878762921627,2.1412063129588503
